iter	Logloss
0	0.6875512084
1	0.6819566102
2	0.6766987973
3	0.6712378978
4	0.6663584701
5	0.6609779317
6	0.6569745605
7	0.652234782
8	0.6472609082
9	0.6430365984
10	0.6385000157
11	0.6342264629
12	0.6301052796
13	0.6260369425
14	0.6225570651
15	0.618394664
16	0.6145680109
17	0.6110158521
18	0.6073735055
19	0.6036911966
20	0.6008537716
21	0.5978225408
22	0.5950228942
23	0.591921129
24	0.589736802
25	0.5876291237
26	0.5846624221
27	0.5818448689
28	0.5790011111
29	0.5763897017
30	0.5739260761
31	0.5714199769
32	0.5692653485
33	0.5672005259
34	0.5651074241
35	0.5628551831
36	0.561043236
37	0.5597575125
38	0.5576152767
39	0.5555829917
40	0.5536447706
41	0.5515834965
42	0.5499066129
43	0.5481798858
44	0.5470689149
45	0.5451350067
46	0.5437489955
47	0.5420761518
48	0.5405845574
49	0.5392161252
50	0.5380875207
51	0.5368383199
52	0.5357616882
53	0.5345178376
54	0.5331212353
55	0.5319349258
56	0.5307264516
57	0.5294355416
58	0.5282366758
59	0.5275206318
60	0.526614167
61	0.5255159709
62	0.5244632509
63	0.5231897562
64	0.5226121606
65	0.5212887131
66	0.5199986767
67	0.5189451924
68	0.5179537806
69	0.5169920674
70	0.5161014891
71	0.5149215125
72	0.5139726833
73	0.5131015948
74	0.5126943298
75	0.5119137568
76	0.5110527134
77	0.5101339105
78	0.5093520818
79	0.5085828095
80	0.5078696044
81	0.5071109233
82	0.5065653738
83	0.5057709341
84	0.504950508
85	0.5041299728
86	0.5034376223
87	0.502666876
88	0.5019387124
89	0.5012103304
90	0.5003838991
91	0.4994814195
92	0.4987973672
93	0.4981235784
94	0.4979256782
95	0.4977347113
96	0.4970857624
97	0.4963845132
98	0.4957464283
99	0.4951729100	100	0.494637101	0101	0.4937823847
102	0.493113946
103	0.4924409215
104	0.4919091841
105	0.4912588703
106	0.4908935874
107	0.4902716621
108	0.4896345053
109	0.4890339259
110	0.4885536699
111	0.488008448
112	0.4873159337
113	0.4867440157
114	0.4861464935
115	0.4856025819
116	0.4851085683
117	0.4845880225
118	0.4840724993
119	0.4835274957
120	0.4830280229
121	0.4826019233
122	0.4822184609
123	0.4817185513
124	0.4811736023
125	0.480745319
126	0.480101338
127	0.4797088132
128	0.4793318474
129	0.4788113562
130	0.4784076943
