iter	Passed	Remaining
0	8	8152
1	13	686622	23	7700
3	30	7492
4	33	6627
5	37	6264
6	45	6461
7	48	5952
8	50	5576
9	54	5411
10	57	5127
11	59	4898
12	61	4685
13	64	4535
14	66	4387
15	69	4265
16	71	4159
17	81	4447
18	86	4450
19	91	4499
20	96	4496
21	99	4435
22	105	4497
23	109	4466
24	114	4449
25	117	4393
26	124	4493
27	130	4518
28	134	4500
29	138	4493
30	142	4467
31	147	4454
32	154	4537
33	157	4482
34	161	4450
35	168	4504
36	175	4557
37	182	4612
38	185	4574
39	190	4570
40	200	4678
41	202	4610
42	204	4545
43	211	4585
44	214	4543
45	216	4497
46	219	4446
47	222	4406
48	225	4384
49	229	4353
50	231	4315
51	234	4277
52	252	263	453	241	4226
54	245	4211
55	255	274	456	556	278	4610557	285	4641558	290	4635
59	292	4585660	300	4621
61	303	4594662	307	4579663	315	4621
64	324	4674
65	330	4677
66	333	4648
67	338	4640
68	342	4625
69	350	4655
70	354	4638
71	360	4649
72	369	4691
73	377	4719
74	383	4726
75	391	4759
76	396	4756
77	402	4760
78	408	4760
79	411	4732
80	416	4723
81	419	4699
82	423	4675
83	425	4637
84	428	4617
85	440	4681
86	449	4718
87	454	4711
88	456	4675
89	459	4647
90	462	4616
91	464	4584
92	467	4555
93	469	4526
94	471	4495
95	474	4464996	476	443697	474	4363
98	477	4350
99	483	4348
100	491	4378
101	499	4395
102	502	4378
103	505	4357
104	510	4354
105	519	4385
106	522	4362
107	524	4335
108	527	4310
109	528	4280
110	533	4269
111	537	4258
112	545	4285
113	552	4293
114	555	4276
115	558	4257
116	561	4235
117	566	4234
118	569	4217
119	572	4197
120	574	4175
121	580	4180
122	586	4184
123	591	4176
124	594	4159
125	600	4167
126	608	4180
127	615	4194
128	617	4167
129	620	4153
130	625	4150
131	630	4147
132	633	4130
133	638	4128
134	643	4121
135	646	4106
136	648	4085
137	653	4082
138	661	4096
139	664	4083
140	674	4108
141	679	4105
142	685	4107
143	691	4108
144	694	4094
145	696	4076
146	703	4081
147	705	4063
148	711	4063
149	714	4048
150	719	4046
151	723	4033
152	726	4023
153	733	4027
154	737	4022
155	741	4014
156	747	4014
157	749	3996
158	758	4012
159	761	3999
160	765	3988
161	769	3981
162	776	3987
163	780	3980
164	784	3968
165	786	3952
166	790	3945
167	794	3935
168	798	3924
169	802	3917
170	808	3918
171	812	3912
172	819	3915
173	826	3923
174	834	3931
175	838	3924
176	841	3914
177	850	3925
178	858	3937
179	864	3938
180	869	3935
181	872	3921
182	875	3907
183	877	3891
184	879	185	882	3860
186	887	3857
187	892	3855
188	899	3857
189	9189	901	190	905	3837
191	914	3847
192	920	3849
193	927	3851
194	929	3836
195	934	3831
196	939	3830
197	9197	944	198	948	3815
199	955	3822
200	960	3816
201	971	3839
202	977	3839
203	981	3828
204	982	3809
205	986	3801
206	990	3796
207	999	3805
208	1006	3810
209	1009	3797
210	1014	3793
211	1019	3788
212	1022	3778
213	1028	3777
214	1035	3781
215	1038	3768
216	1041	3759
217	1051	3773
218	1059	3779
219	1065	3776
220	1069	3768
